Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
1,11/03/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
2,11/03/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
3,11/03/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
4,11/03/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
5,11/04/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
6,11/04/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
7,11/04/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
8,11/04/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
9,11/05/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
10,11/05/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
11,11/05/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
12,11/05/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
13,11/06/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
14,11/06/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
15,11/06/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
16,11/06/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
17,11/07/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
18,11/07/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
19,11/07/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
20,11/07/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
21,11/10/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
